timestamp,open,high,low,close,volume,RSI,MACD,MACD_Hist,MACD_Signal,Real Lower Band,Real Middle Band,Real Upper Band,SlowD,SlowK,CCI,Future_Date,Future_Price
2018-10-23,58.3600,59.3000,58.2100,58.8100,12834169,64.5355,0.9633,0.1769,0.7864,58.4839,58.8220,59.1601,75.9960,69.6694,65.6151,2018-12-06,66.5500
2018-10-22,58.9300,59.3600,58.5800,58.9000,8680150,65.5310,0.9362,0.1941,0.7422,57.7425,58.6220,59.5015,82.4081,76.4033,84.6712,2018-12-04,66.6500
2018-10-19,58.3900,59.0700,58.3900,58.6600,10180500,64.2059,0.8788,0.1852,0.6937,56.5260,58.1920,59.8580,82.3403,81.9153,87.5711,2018-12-03,67.5000
2018-10-18,59.0000,59.5300,58.1500,58.6400,12184673,64.1024,0.8173,0.1699,0.6474,55.6893,57.7500,59.8107,73.9046,88.9058,114.7677,2018-11-30,66.7200
2018-10-17,57.9000,59.3950,57.7800,59.1000,14631015,68.1836,0.7288,0.1239,0.6049,54.1641,56.9940,59.8239,53.0448,76.1998,158.4849,2018-11-29,66.8800
2018-10-16,56.9400,58.0100,56.7700,57.8100,11731398,62.0922,0.5584,-0.0155,0.5739,54.4506,56.3760,58.3014,33.6536,56.6081,111.5276,2018-11-28,66.8200
2018-10-15,56.3700,57.1900,56.3105,56.7500,10175142,55.8396,0.4642,-0.1136,0.5778,54.4894,56.3560,58.2226,22.9915,26.3263,63.9351,2018-11-27,66.0800
2018-10-12,55.7100,56.7800,55.2800,56.4500,13980461,53.9029,0.4451,-0.1610,0.6062,54.4755,56.3140,58.1525,31.5914,18.0263,6.3694,2018-11-26,65.6900
2018-10-11,55.7000,56.2700,54.7050,54.8600,15316853,41.7087,0.4449,-0.2016,0.6465,54.2960,56.1760,58.0560,44.3217,24.6218,-98.9305,2018-11-23,65.7000
2018-10-10,57.6700,57.8700,55.9400,56.0100,14190452,50.3847,0.6000,-0.0969,0.6968,54.9521,56.3820,57.8119,51.9479,52.1262,18.5167,2018-11-21,66.7700
2018-10-09,56.8300,59.7000,56.8100,57.7100,24855700,69.6642,0.6721,-0.0490,0.7211,54.6763,56.2740,57.8717,41.6946,56.2170,138.1379,2018-11-20,67.1800
2018-10-08,55.8200,56.7500,55.4500,56.5400,9624260,60.2407,0.5812,-0.1521,0.7333,55.1028,55.8500,56.5972,28.2390,47.5004,-13.6700,2018-11-19,67.9100
2018-10-05,55.9500,55.9500,55.3050,55.7600,9734042,51.1325,0.5760,-0.1954,0.7713,55.3610,55.6580,55.9550,14.7548,21.3664,-75.8757,2018-11-16,68.1600
2018-10-04,55.7800,56.0800,55.5000,55.8900,9722043,52.9520,0.6403,-0.1799,0.8202,54.8685,55.8740,56.8795,11.4731,15.8502,-79.7013,2018-11-15,67.6200
2018-10-03,55.8000,56.1100,55.4600,55.4700,7383546,47.5221,0.6999,-0.1653,0.8651,54.6168,56.1640,57.7112,15.6254,7.0479,-107.6870,2018-11-14,67.0400
2018-10-02,55.5500,56.0100,55.2900,55.5900,12680838,48.9756,0.8085,-0.0980,0.9065,54.9528,56.5240,58.0952,30.7549,11.5214,-103.4266,2018-11-13,67.4100
2018-10-01,56.9100,56.9500,55.5300,55.5800,12727584,48.8583,0.9231,-0.0078,0.9310,55.5175,56.7860,58.0545,50.4357,28.3069,-46.1803,2018-11-12,67.9100
2018-09-28,57.3900,57.3900,56.7800,56.8400,8975955,66.0895,1.0571,0.1241,0.9329,56.5021,57.0080,57.5139,65.9215,52.4366,46.4094,2018-11-09,68.6000
2018-09-27,57.1000,57.7850,57.1000,57.3400,6606185,75.6134,1.0843,0.1824,0.9019,56.5555,57.1300,57.7045,75.8193,70.5636,82.2507,2018-11-08,68.7200
2018-09-26,56.7700,57.8400,56.7500,57.2700,7757332,75.1624,1.0524,0.1962,0.8563,56.2035,56.9480,57.6925,81.1834,74.7644,91.1075,2018-11-07,68.1600
2018-09-25,56.9800,57.2900,56.8300,56.9000,9445481,72.7666,1.0036,0.1964,0.8072,55.2484,56.5800,57.9116,85.5888,82.1300,96.1865,2018-11-06,66.0100
2018-09-24,56.9400,57.3600,56.5800,56.6900,10616004,71.3551,0.9643,0.2061,0.7581,54.4879,56.2140,57.9401,84.1319,86.6558,120.3719,2018-11-05,64.4800
2018-09-21,56.5500,57.5661,56.5200,57.4500,25800450,85.8468,0.9215,0.2149,0.7066,53.7306,55.7900,57.8494,73.8538,87.9806,213.9766,2018-11-02,64.3200
2018-09-20,55.6000,56.7300,55.6000,56.4300,10582603,81.2463,0.7760,0.1232,0.6529,53.9325,55.2500,56.5675,58.1751,77.7593,245.9848,2018-11-01,58.6300
2018-09-19,55.2200,55.7900,54.9000,55.4300,7451644,73.7043,0.6830,0.0609,0.6221,54.3538,54.9420,55.5302,44.3244,55.8215,158.3568,2018-10-31,58.2700
2018-09-18,54.4800,55.2800,54.1000,55.0700,7569586,69.7647,0.6561,0.0493,0.6069,54.5004,54.8500,55.1996,43.6600,40.9447,35.1665,2018-10-30,58.5900
2018-09-17,54.7000,54.8600,54.2750,54.5700,9277192,62.7976,0.6489,0.0544,0.5945,54.4839,54.8600,55.2361,53.8289,36.2069,8.0771,2018-10-29,58.3700
2018-09-14,55.0000,55.0000,54.6100,54.7500,6827670,67.8642,0.6812,0.1003,0.5809,54.6987,54.9400,55.1813,70.1147,53.8285,44.6444,2018-10-26,58.0700
2018-09-13,55.1200,55.5700,54.7400,54.8900,8566607,71.9265,0.6942,0.1383,0.5559,54.7816,54.9620,55.1424,82.7900,71.4512,82.0032,2018-10-25,58.9600
2018-09-12,55.2000,55.2000,54.3263,54.9700,7297268,74.2110,0.6864,0.1651,0.5213,54.1882,54.8260,55.4638,90.2235,85.0645,78.7271,2018-10-24,58.0600
2018-09-11,54.8300,55.3950,54.7650,55.1200,7873859,78.4139,0.6583,0.1783,0.4800,53.5770,54.5900,55.6030,92.5593,91.8544,125.5329,2018-10-23,58.8100
2018-09-10,54.9400,55.1100,54.5700,54.9700,8621174,77.2546,0.5977,0.1623,0.4354,53.1337,54.2720,55.4103,91.4861,93.7517,151.5749,2018-10-22,58.9000
